IO ID,Name,"Size, B",Type,Min. Value,Max. Value,Multiplier; offset,Units,Error values,IO Explanation and Notes,Averaging,Event On Change,Event On Hysteresis,Eco5,Plug5,HCV5 Lite / Pro5 Lite,Pro5,HCV5,LCV5,Trace5-LTM / Trace5-LTM-NA,Trace5-LTE / Trace5-LTM (Rev.A) / Trace5-2G,Basic,ECO4 UBI,Eco4,Eco4 S,Eco4 T,Eco4 RS T,Pro4,Tco4 HCV,Tco4 LCV,Plug4,Pro4 BT,Tco4 HCV BT,Tco4 LCV BT,Eco3,Pro3,Tco3 TCO,Tco3 OBD
12,CAN SW-version supported,4,Unsigned int.,0,-,-,-,-,"FMS parameter 0x00FDD1
software version in format ab.cd",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
13,CAN tacho vehicle motion,1,Unsigned int.,0,1,-,-,"2, 3","FMS parameter SPN 1611
0=Vehicle motion not detected, 1=vehicle motion detected, 2=Error, 3=Not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
14,CAN tacho driver 1 time related status,1,Unsigned int.,0,15,-,-,14,"FMS parameter SPN 1617
0=normal, 1=15 min bef. 4 ½ h, 2=4 ½ h reached, 3=15 min bef. 9 h,
4=9 h reached, 5=15 min bef. 16 h, 6=16h reached,
14=Error, 15=not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
15,CAN tacho driver 1 card,1,Unsigned int.,0,1,-,-,"2, 3","FMS parameter SPN 1615
0=Card not present, 1=Card present, 2=Error, 3=Not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
16,CAN tacho driver 2 time related status,1,Unsigned int.,0,15,-,-,14,"FMS parameter SPN 1618
0=normal, 1=15 min bef. 4 ½ h, 2=4 ½ h reached, 3=15 min bef. 9 h,
4=9 h reached, 5=15 min bef. 16 h, 6=16h reached,
14=Error, 15=not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No
17,CAN tacho driver 2 card,1,Unsigned int.,0,1,-,-,"2, 3","FMS parameter SPN 1616
0=Card not present, 1=Card present, 2=Error, 3=Not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No
18,Fuel Counter1,2,Unsigned int.,0,65535,Depends on counter,ml,-,0 – reset;,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
19,Fuel Counter2,2,Unsigned int.,0,65535,Depends on counter,ml,-,0 – reset;,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
20,AIN3,2,Unsigned int.,0,65535,-,mV,65535,Voltage on analog input 3 pin,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
21,AIN4,2,Unsigned int.,0,65535,-,mV,65535,Voltage on analog input 4 pin,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
22,AIN1,2,Unsigned int.,0,65535,-,mV,65535,Voltage on analog input 1 pin,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
23,AIN2,2,Unsigned int.,0,65535,-,mV,65535,Voltage on analog input 2 pin,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
24,Tacho card reader state,1,Unsigned int.,0,1,-,-,-,"0- not available, 1 – available",Debouncing,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No
25,Security info,1,Unsigned int.,0,4,-,-,2,"01-configuration change attempt, when plock enabled
02-plock code sending attempt failed
04-plock state succesfully updated",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
26,AIN1 delta,2,Signed int.,-32768,32767,-,mV,-,Voltage difference between the current and earlier obtained voltage reference on AIN1,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
27,GSM/UMTS signal level,1,Unsigned int.,0,31,-,-,255 and 100,"GSM/UMTS signal level:
0 - no signal
1 - very weak
2-9 - weak
10-19 - good
20-30 - very good
31 - excellent",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
28,Current profile,1,Unsigned int.,1,4,-,-,-,Represents the currently active configuration profile,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
29,Power supply voltage,2,Unsigned int.,0,65535,-,mV,65535,Power supply voltage,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
30,Battery Voltage,2,Unsigned int.,0,65535,-,mV,65535,Should be between 3300 and 4300mV,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
31,CAN Engine Braking,1,Unsigned int.,0,254,-,-,255,"Describes intensity of Engine braking ""jake braking"" (0 - engine braking off, 1- 254 - engine braking intesity level)",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes
32,PCB temperature,1,Signed int.,-40,80,-,°C,"41, 85",Represents temperature of the PCB,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
33,AIN2 delta,2,Signed int.,-32768,32767,-,mV,-,Voltage difference between the current and earlier obtained voltage reference on AIN2,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
34,iButton driver ID,8,String,0,0xFFFFFFFFFFFFFFFF,-,-,0xFFFFFFFFFFFFFFFF,Unique iButton ID,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
35,CAN clutch switch,1,Unsigned int.,0,1,-,-,"2, 3","FMS parameter SPN 598
0=pedal released, 1=pedal pressed, 2=Error, 3=Not available",Debouncing,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
36,CAN brake switch,1,Unsigned int.,0,1,-,-,"2, 3","FMS parameter SPN 597
0=pedal released, 1=pedal pressed, 2=Error, 3=Not available",Debouncing,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
37,CAN cruise control active,1,Unsigned int.,0,1,-,-,"2, 3","FMS parameter SPN 595
0=switched off, 1=switched on, 2-Error, 3=Not available",Debouncing,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
38,CAN PTO state,1,Unsigned int.,0,5,-,-,31,"FMS parameter SPN 976
(bin 00000) 0= off/disabled, (bin 00101) 5= Set, (bin 11111) 31 = not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
39,CAN engine percent load at current speed,1,Unsigned int.,0,125,1; 0,%,254,"FMS parameter SPN 92
Engine Percent Load At Current Speed, 1% / bit, 0 offset, 0 to 125 % op. range",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
40,CAN tire location,1,Bitmap,0,255,-,,-,"FMS parameter SPN 928
Bit-mapped, low order 4 bits represent tire location counting left to right facing forward, 0=tire that is most to the left on a certain axle, ….., 15=Not available",Debouncing,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
41,CAN axle1 weight,2,Unsigned int.,0,64255,0.5; 0,kg,65024 to 65279,"FMS parameter SPN 582
Axle 1 weight from CAN (20000=10000kg)",No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
42,CAN system event,1,Unsigned int.,0,1,-,-,"2, 3","FMS parameter SPN 1622
0=no tachogr. Event, 1=tachogr. Event, 2=Error, 3=Not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
43,CAN tacho handling information,1,Unsigned int.,0,1,-,-,"2, 3","FMS parameter SPN 1621
0=no handling information, 1=handling information, 2=Error, 3=Not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
44,CAN tacho direction indicator,1,Unsigned int.,0,1,-,-,"2, 3","FMS parameter SPN 1619
0=Forward, 1=Reverse, 2=Error, 3=Not available",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
45,DIN1 hour counter,4,Unsigned int.,0,4294967295,-,s,-,Seconds of DIN1 being active (high). The counter is reset on every new record.,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
46,DIN2 hour counter,4,Unsigned int.,0,4294967295,-,s,-,Seconds of DIN2 being active (high). The counter is reset on every new record.,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
47,DIN3 hour counter,4,Unsigned int.,0,4294967295,-,s,-,Seconds of DIN3 being active (high). The counter is reset on every new record.,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
48,DIN4 hour counter,4,Unsigned int.,0,4294967295,-,s,-,Seconds of DIN4 being active (high). The counter is reset on every new record.,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
49,Accelerometer X,1,Signed int.,-128,127,0.05,G,-,Acceleration vector length relative to x axis,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
50,Accelerometer Y,1,Signed int.,-128,127,0.05,G,-,Acceleration vector length relative to y axis,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
51,Accelerometer Z,1,Signed int.,-128,127,0.05,G,-,Acceleration vector length relative to z axis,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
52,CAN axle2 weight,2,Unsigned int.,0,64255,0.5; 0,kg,65024 to 65279,"FMS parameter SPN 582
Axle 2 weight from CAN (20000=10000kg)",No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
53,CAN axle3 weight,2,Unsigned int.,0,64255,0.5; 0,kg,65024 to 65279,"FMS parameter SPN 582
Axle 3 weight from CAN (20000=10000kg)",No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
54,CAN axle4 weight,2,Unsigned int.,0,64255,0.5; 0,kg,65024 to 65279,"FMS parameter SPN 582
Axle 4 weight from CAN (20000=10000kg)",No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
55,CAN axle5 weight,2,Unsigned int.,0,64255,0.5; 0,kg,65024 to 65279,"FMS parameter SPN 582
Axle 5 weight from CAN (20000=10000kg)",No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
56,Digital Fuel Sensor C1 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes
57,Digital Fuel Sensor C2 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
58,Digital Fuel Sensor C3 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
59,Digital Fuel Sensor C4 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
60,Digital Fuel Sensor C5 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
61,Digital Fuel Sensor C6 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
62,Digital Fuel Sensor C7 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
63,Digital Fuel Sensor C8 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
64,Digital Fuel Sensor C9 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
65,Virtual odometer,4,Unsigned int.,0,4294967295,-,m,-,Mileage calculated by the GNSS module,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
66,Digital Fuel Sensor C1,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
67,Digital Fuel Sensor B1,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
68,Digital Fuel Sensor C2,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
69,Digital Fuel Sensor C3,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70,Temperature sensor0 ID,8,String,0,0xFFFFFFFFFFFFFFFF,-,-,-,Unique temperature sensor ID,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
71,Temperature sensor1 ID,8,String,0,0xFFFFFFFFFFFFFFFF,-,-,-,Unique temperature sensor ID,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
72,Temperature sensor2 ID,8,String,0,0xFFFFFFFFFFFFFFFF,-,-,-,Unique temperature sensor ID,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
73,Temperature sensor3 ID,8,String,0,0xFFFFFFFFFFFFFFFF,-,-,-,Unique temperature sensor ID,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
74,Temperature sensor3,2,Signed int.,-550,1250,0.1,°C,"2000, 2001, 2002, 2003, 2004, 850",2000 – no device; 2001 – error detected/faulty bus;2002 – error CRC; 2003 – no value; 2004 – temperature is outside range (-55°C<t<125°C); 850 - power supply too low,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
75,Digital Fuel Sensor C10 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76,Digital Fuel Sensor B1 temperature,1,Signed int.,-128,127,-,°C,128,Temperature measured by the FLS,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
77,Virtual odometer DIFF,4,Unsigned int.,0,4294967295,-,m,-,Mileage calculated by the GNSS module between consecutive records,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
78,Temperature sensor0,2,Signed int.,-550,1250,0.1,°C,"2000, 2001, 2002, 2003, 2004, 850",2000 – no device; 2001 – error detected/faulty bus;2002 – error CRC; 2003 – no value; 2004 – temperature is outside range (-55°C<t<125°C); 850 - power supply too low,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
79,Temperature sensor1,2,Signed int.,-550,1250,0.1,°C,"2000, 2001, 2002, 2003, 2004, 850",2000 – no device; 2001 – error detected/faulty bus;2002 – error CRC; 2003 – no value; 2004 – temperature is outside range (-55°C<t<125°C); 850 - power supply too low,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
80,Temperature sensor2,2,Signed int.,-550,1250,0.1,°C,"2000, 2001, 2002, 2003, 2004, 850",2000 – no device; 2001 – error detected/faulty bus;2002 – error CRC; 2003 – no value; 2004 – temperature is outside range (-55°C<t<125°C); 850 - power supply too low,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
81,Digital Fuel Sensor C4,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
82,Digital Fuel Sensor C5,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
83,Digital Fuel Sensor C6,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
84,Digital Fuel Sensor C7,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
85,Digital Fuel Sensor C8,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
86,Digital Fuel Sensor C9,2,Unsigned int.,0,65534,-,N,65535,"4095/1023= full, 0=empty",Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
